прос`ы`паться
++++++++++
1. [`verb, perfective`] wake up
· Я прошел `просыпаться`, когда наступила зима. (I woke up when winter came.)
· Он часто просыпается `просыпаться` со страха о том, что что-то пошло не так. (He often wakes up in fear that something went wrong.)
2. [`verb, imperfective`] wake up
· Он постоянно `просыпался`, чтобы изучать его. (He was constantly waking up to study it.)
· Она регулярно `просыпалась`, чтобы открыть магазин. (She was regularly waking up to open the store.)
++++++++++
· 撒落出, 洒出
· 睡醒, 醒来
· 活跃起来, 热闹起来
· 觉醒, 积极起来
· 出现, 发生
